,hhid_baseline,areaid,area_dropped,treatment,hh_size,adults,children,male_head,head_age,head_noeduc,spandana,othermfi,bank,informal,anyloan,spandana_amt,othermfi_amt,bank_amt,informal_amt,anyloan_amt,total_biz,female_biz,female_biz_pct,bizrev,bizexpense,bizinvestment,bizemployees,hours_weekbiz,total_exp_mo,nondurable_exp_mo,durables_exp_mo,home_durable_index
0,1,70,No,Treatment,6,5,1,1.0,48.0,1.0,No,No,No,Yes,Yes,0.0,0.0,0.0,35000.0,35000.0,1,0,0.0,2500.0,500.0,0.0,0.0,87.0,3845.0032,3761.669921875,83.33333587646484,2.7090404
1,2,70,No,Treatment,4,3,1,1.0,30.0,1.0,No,No,No,Yes,Yes,0.0,0.0,0.0,10000.0,10000.0,0,0,,,,,,,3297.3367,3255.669921875,41.66666793823242,0.9077936
2,3,70,No,Treatment,5,4,1,1.0,45.0,1.0,No,No,No,No,No,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,2721.4968,2679.830078125,41.66666793823242,1.648365
3,4,70,No,Treatment,4,4,0,1.0,54.0,0.0,No,No,No,No,No,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,2480.0,2455.0,25.0,3.3548675
4,5,70,No,Treatment,5,5,0,1.0,45.0,1.0,No,No,No,Yes,Yes,0.0,0.0,0.0,7000.0,7000.0,0,0,,,,,,,5406.0,5281.0,125.0,1.4222305
5,6,70,No,Treatment,6,4,2,1.0,65.0,1.0,No,No,No,Yes,Yes,0.0,0.0,0.0,150000.0,150000.0,0,0,,,,,,,10936.667,10895.0,41.66666793823242,2.0818079
6,7,70,No,Treatment,4,4,0,1.0,60.0,0.0,No,No,No,Yes,Yes,0.0,0.0,0.0,100000.0,100000.0,0,0,,,,,,,2465.0,2465.0,0.0,1.4682188
7,8,70,No,Treatment,4,4,0,1.0,45.0,1.0,No,No,No,Yes,Yes,0.0,0.0,0.0,70000.0,70000.0,0,0,,,,,,,24978.33,24978.330078125,0.0,2.5284758
8,9,70,No,Treatment,4,2,2,1.0,40.0,0.0,No,No,No,Yes,Yes,0.0,0.0,0.0,5000.0,5000.0,0,0,,,,,,,2716.67,2716.669921875,0.0,1.1319077
9,10,70,No,Treatment,6,4,2,1.0,55.0,1.0,No,No,No,Yes,Yes,0.0,0.0,0.0,125000.0,125000.0,1,0,0.0,9000.0,940.0,0.0,0.0,56.0,6561.67,6561.669921875,0.0,2.4131055
10,11,70,No,Treatment,6,3,3,1.0,33.0,0.0,No,No,No,Yes,Yes,0.0,0.0,0.0,15000.0,15000.0,0,0,,,,,,,7428.3364,5511.669921875,1916.6666259765625,2.1929479
11,12,70,No,Treatment,5,2,3,1.0,35.0,1.0,No,No,No,Yes,Yes,0.0,0.0,0.0,30000.0,30000.0,0,0,,,,,,,2221.0,2221.0,0.0,0.69820064
12,13,70,No,Treatment,6,4,2,1.0,30.0,0.0,No,No,No,Yes,Yes,0.0,0.0,0.0,1000.0,1000.0,0,0,,,,,,,2090.33,2090.330078125,0.0,2.1784542
13,14,70,No,Treatment,3,3,0,1.0,43.0,0.0,No,No,No,Yes,Yes,0.0,0.0,0.0,30000.0,30000.0,0,0,,,,,,,4150.0,4150.0,0.0,0.9640521
14,15,70,No,Treatment,6,2,4,1.0,40.0,0.0,No,No,No,Yes,Yes,0.0,0.0,0.0,50000.0,50000.0,0,0,,,,,,,6525.0034,4941.669921875,1583.3333740234375,1.847117
15,16,70,No,Treatment,4,2,2,1.0,28.0,1.0,No,No,No,Yes,Yes,0.0,0.0,0.0,70000.0,70000.0,0,0,,,,,,,7469.9966,5553.330078125,1916.6666259765625,2.4182022
16,17,70,No,Treatment,3,2,1,1.0,35.0,1.0,No,No,Yes,Yes,Yes,0.0,0.0,10000.0,51000.0,61000.0,0,0,,,,,,,3190.0,3190.0,0.0,0.86441356
17,18,70,No,Treatment,6,4,2,1.0,40.0,0.0,No,Yes,No,Yes,Yes,0.0,4000.0,0.0,16000.0,20000.0,0,0,,,,,,,6499.3335,6491.0,8.333333015441895,1.383095
18,19,70,No,Treatment,6,2,4,1.0,37.0,1.0,No,No,No,Yes,Yes,0.0,0.0,0.0,2930.0,2930.0,0,0,,,,,,,2990.0,2990.0,0.0,0.9944449
19,20,70,No,Treatment,7,5,2,1.0,60.0,1.0,No,No,No,Yes,Yes,0.0,0.0,0.0,10000.0,10000.0,0,0,,,,,,,6445.0,6445.0,0.0,1.2397556
20,21,31,No,Treatment,9,7,2,1.0,46.0,0.0,No,No,No,No,No,0.0,0.0,0.0,0.0,0.0,1,0,0.0,33000.0,26800.0,0.0,2.0,57.0,5028.33,4778.330078125,250.00000762939453,4.104192
21,22,31,No,Treatment,4,2,2,1.0,39.0,0.0,No,No,No,Yes,Yes,0.0,0.0,0.0,20000.0,20000.0,0,0,,,,,,,4451.6665,4410.0,41.66666793823242,1.8014953
22,23,31,No,Treatment,7,5,2,1.0,35.0,1.0,No,No,No,Yes,Yes,0.0,0.0,0.0,45000.0,45000.0,1,0,0.0,6000.0,1150.0,0.0,0.0,0.0,5104.67,5104.669921875,0.0,2.2753122
23,24,31,No,Treatment,6,4,2,1.0,33.0,0.0,No,No,No,Yes,Yes,0.0,0.0,0.0,50000.0,50000.0,0,0,,,,,,,6069.0,5806.5,262.5,3.8371968
24,25,31,No,Treatment,4,2,2,1.0,33.0,0.0,No,No,No,No,No,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,6145.3335,5887.0,258.3333282470703,1.9776442
25,26,31,No,Treatment,6,4,2,1.0,25.0,1.0,No,No,No,No,No,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,3226.6667,3060.0,166.6666717529297,1.2632458
26,27,31,No,Treatment,3,3,0,0.0,40.0,1.0,No,No,No,No,No,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,4808.3335,4775.0,33.33333206176758,2.0820143
27,28,31,No,Treatment,4,4,0,1.0,35.0,0.0,No,No,No,Yes,Yes,0.0,0.0,0.0,200000.0,200000.0,0,0,,,,,,,19942.33,19942.330078125,0.0,2.1086493
28,29,31,No,Treatment,2,2,0,1.0,26.0,1.0,No,No,No,Yes,Yes,0.0,0.0,0.0,5000.0,5000.0,0,0,,,,,,,2515.5032,2432.169921875,83.33333587646484,2.447021
29,30,31,No,Treatment,5,2,3,1.0,35.0,0.0,No,No,No,No,No,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,4328.67,4328.669921875,0.0,2.3346314
30,31,31,No,Treatment,5,4,1,1.0,59.0,0.0,No,No,No,No,No,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,10298.337,9631.669921875,666.6666870117188,3.119181
31,32,31,No,Treatment,4,2,2,1.0,26.0,0.0,No,Yes,No,No,Yes,0.0,1000.0,0.0,0.0,1000.0,0,0,,,,,,,3161.83,3061.830078125,100.0,1.7793597
32,33,31,No,Treatment,3,3,0,1.0,60.0,1.0,No,No,No,Yes,Yes,0.0,0.0,0.0,2000.0,2000.0,0,0,,,,,,,4986.5034,4903.169921875,83.33333587646484,2.019709
33,34,31,No,Treatment,5,2,3,1.0,37.0,1.0,No,No,No,Yes,Yes,0.0,0.0,0.0,50000.0,50000.0,0,0,,,,,,,2508.33,2508.330078125,0.0,1.4401008
34,35,31,No,Treatment,5,3,2,1.0,38.0,0.0,No,No,No,Yes,Yes,0.0,0.0,0.0,100000.0,100000.0,0,0,,,,,,,4603.33,4603.330078125,0.0,1.3683748
35,36,31,No,Treatment,3,2,1,1.0,33.0,0.0,No,No,No,Yes,Yes,0.0,0.0,0.0,20000.0,20000.0,0,0,,,,,,,2001.67,2001.6700439453125,0.0,1.3763579
36,37,31,No,Treatment,5,4,1,1.0,30.0,0.0,No,No,No,Yes,Yes,0.0,0.0,0.0,400000.0,400000.0,0,0,,,,,,,44616.67,44616.671875,0.0,3.071827
37,38,31,No,Treatment,5,4,1,1.0,31.0,0.0,No,No,No,No,No,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,3190.0,3190.0,0.0,0.9551802
38,39,31,No,Treatment,4,2,2,1.0,35.0,0.0,No,No,No,No,No,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,2973.33,2973.330078125,0.0,0.87115306
39,40,31,No,Treatment,15,9,6,1.0,60.0,0.0,No,No,No,Yes,Yes,0.0,0.0,0.0,15000.0,15000.0,0,0,,,,,,,10642.333,9059.0,1583.3333129882812,3.1691408
40,41,8,No,Control,4,2,2,0.0,39.0,1.0,No,No,No,Yes,Yes,0.0,0.0,0.0,200000.0,200000.0,0,0,,,,,,,4476.0,4476.0,0.0,2.631305
41,42,8,No,Control,5,2,3,1.0,30.0,0.0,No,No,No,Yes,Yes,0.0,0.0,0.0,77000.0,77000.0,0,0,,,,,,,3756.3367,3464.669921875,291.66666412353516,1.5316093
42,43,8,No,Control,6,5,1,1.0,41.0,0.0,No,No,No,No,No,0.0,0.0,0.0,0.0,0.0,1,0,0.0,5400.0,833.3333,3500.0,0.0,13.0,19453.33,16500.830078125,2952.499975204468,4.681735
43,44,8,No,Control,5,2,3,1.0,31.0,0.0,No,No,No,Yes,Yes,0.0,0.0,0.0,4000.0,4000.0,0,0,,,,,,,3773.3367,3506.669921875,266.6666660308838,1.5869918
44,45,8,No,Control,4,4,0,1.0,45.0,0.0,No,No,No,No,No,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,5616.4966,4912.330078125,704.1666717529297,2.7436967
45,46,8,No,Control,7,5,2,1.0,47.0,1.0,No,No,No,Yes,Yes,0.0,0.0,0.0,15000.0,15000.0,0,0,,,,,,,3147.3367,3043.169921875,104.16666412353516,1.8426976
46,47,8,No,Control,6,6,0,1.0,53.0,0.0,No,No,No,Yes,Yes,0.0,0.0,0.0,60000.0,60000.0,0,0,,,,,,,10147.497,9880.830078125,266.6666660308838,3.0902624
47,48,8,No,Control,2,2,0,1.0,55.0,1.0,No,No,No,Yes,Yes,0.0,0.0,0.0,120000.0,120000.0,0,0,,,,,,,2511.0032,2355.169921875,155.83333587646484,1.1304749
48,49,8,No,Control,4,2,2,1.0,27.0,0.0,No,No,No,No,Yes,0.0,0.0,0.0,0.0,500.0,0,0,,,,,,,2297.75,2237.75,60.0,1.2868165
49,50,8,No,Control,5,5,0,1.0,47.0,0.0,No,Yes,No,Yes,Yes,0.0,4000.0,0.0,13000.0,17000.0,1,1,1.0,2500.0,2000.0,0.0,0.0,112.0,4293.33,4268.330078125,25.0,1.420415
