,hhid_census,hhid,areaid,treatment,attrit,spandana_borrower,mfi_borrower,hhinslum_months,pucca,ownhouse,woman_biz,husb_biz,woman_salary,husb_salary,firstloandate,p10loandate
0,1,90.0,1,Treatment,Found in EL1,No,No,25.0,No,Yes,No,Yes,No,No,2006-06-19,2006-07-10
1,2,1.0,1,Treatment,Found in EL1,No,No,8.0,No,Yes,No,No,No,Yes,2006-06-19,2006-07-10
2,3,2.0,1,Treatment,Found in EL1,No,No,5.0,No,Yes,No,No,No,Yes,2006-06-19,2006-07-10
3,4,3.0,1,Treatment,Found in EL1,No,No,10.0,No,Yes,No,No,No,No,2006-06-19,2006-07-10
4,5,4.0,1,Treatment,Found in EL1,No,No,18.0,No,Yes,No,No,No,No,2006-06-19,2006-07-10
5,6,5.0,1,Treatment,Found in EL1,No,No,14.0,No,Yes,No,Yes,No,No,2006-06-19,2006-07-10
6,7,6.0,1,Treatment,Found in EL1,Yes,Yes,50.0,Yes,Yes,No,No,No,No,2006-06-19,2006-07-10
7,8,7.0,1,Treatment,Found in EL1,No,No,12.0,Yes,Yes,No,Yes,No,No,2006-06-19,2006-07-10
8,9,,1,Treatment,Not found in EL1,No,No,15.0,Yes,Yes,No,Yes,No,No,2006-06-19,2006-07-10
9,10,,1,Treatment,Not found in EL1,No,No,40.0,Yes,Yes,No,Yes,No,No,2006-06-19,2006-07-10
10,11,8.0,1,Treatment,Found in EL1,Yes,Yes,18.0,No,Yes,No,No,No,Yes,2006-06-19,2006-07-10
11,12,9.0,1,Treatment,Found in EL1,Yes,Yes,55.0,No,Yes,No,No,No,Yes,2006-06-19,2006-07-10
12,13,,1,Treatment,Not found in EL1,Yes,Yes,10.0,No,Yes,No,No,No,Yes,2006-06-19,2006-07-10
13,14,,1,Treatment,Not found in EL1,Yes,Yes,28.0,No,Yes,Yes,Yes,No,No,2006-06-19,2006-07-10
14,15,10.0,1,Treatment,Found in EL1,No,No,11.0,Yes,Yes,No,No,No,Yes,2006-06-19,2006-07-10
15,16,4958.0,1,Treatment,Found in EL1,No,No,16.0,Yes,Yes,No,No,No,Yes,2006-06-19,2006-07-10
16,17,11.0,1,Treatment,Found in EL1,No,No,25.0,No,Yes,Yes,No,No,No,2006-06-19,2006-07-10
17,18,12.0,1,Treatment,Found in EL1,Yes,Yes,20.0,No,Yes,No,No,No,No,2006-06-19,2006-07-10
18,19,13.0,1,Treatment,Found in EL1,No,No,25.0,No,Yes,No,No,No,No,2006-06-19,2006-07-10
19,20,14.0,1,Treatment,Found in EL1,No,No,17.0,No,Yes,No,No,No,No,2006-06-19,2006-07-10
20,21,15.0,1,Treatment,Found in EL1,No,No,16.0,No,Yes,Yes,Yes,No,No,2006-06-19,2006-07-10
21,22,,1,Treatment,Not found in EL1,No,No,17.0,No,Yes,No,No,No,Yes,2006-06-19,2006-07-10
22,23,16.0,1,Treatment,Found in EL1,No,No,10.0,No,Yes,No,No,No,No,2006-06-19,2006-07-10
23,24,17.0,1,Treatment,Found in EL1,No,No,4.0,Yes,Yes,No,No,No,Yes,2006-06-19,2006-07-10
24,25,18.0,1,Treatment,Found in EL1,Yes,Yes,7.0,Yes,Yes,No,No,Yes,Yes,2006-06-19,2006-07-10
25,26,19.0,1,Treatment,Found in EL1,No,No,8.0,No,Yes,No,No,No,Yes,2006-06-19,2006-07-10
26,27,20.0,1,Treatment,Found in EL1,No,No,8.0,Yes,Yes,No,No,No,Yes,2006-06-19,2006-07-10
27,28,4957.0,1,Treatment,Found in EL1,No,No,50.0,No,Yes,No,No,Yes,Yes,2006-06-19,2006-07-10
28,29,,1,Treatment,Not found in EL1,No,No,20.0,No,Yes,No,No,No,No,2006-06-19,2006-07-10
29,30,21.0,1,Treatment,Found in EL1,No,No,14.0,No,Yes,No,Yes,No,No,2006-06-19,2006-07-10
30,31,23.0,1,Treatment,Found in EL1,No,No,22.0,Yes,Yes,No,No,No,Yes,2006-06-19,2006-07-10
31,32,,1,Treatment,Not found in EL1,No,No,22.0,Yes,Yes,No,No,No,No,2006-06-19,2006-07-10
32,33,50.0,1,Treatment,Found in EL1,No,No,32.0,Yes,Yes,No,Yes,No,No,2006-06-19,2006-07-10
33,34,,1,Treatment,Not found in EL1,No,No,50.0,Yes,Yes,No,No,No,No,2006-06-19,2006-07-10
34,35,,1,Treatment,Not found in EL1,No,No,50.0,Yes,Yes,No,No,No,No,2006-06-19,2006-07-10
35,36,,1,Treatment,Not found in EL1,No,No,50.0,Yes,Yes,No,No,No,No,2006-06-19,2006-07-10
36,37,,1,Treatment,Not found in EL1,No,No,35.0,Yes,Yes,No,Yes,No,No,2006-06-19,2006-07-10
37,38,24.0,1,Treatment,Found in EL1,No,No,50.0,No,Yes,No,No,No,No,2006-06-19,2006-07-10
