,hhid,areaid,treatment,businessid,new_business_1,business_type_1,business_type_aggregate_1
0,3,1,Treatment,1,0.0,toddy business,other
1,4,1,Treatment,1,0.0,ice,other
2,5,1,Treatment,1,0.0,kirana store,food/agr
3,6,1,Treatment,1,0.0,food vender,food/agr
4,7,1,Treatment,1,1.0,kirana store,food/agr
5,7,1,Treatment,2,,,
6,9,1,Treatment,1,0.0,floor mill,other
7,9,1,Treatment,2,,tailoring,clothing
8,10,1,Treatment,1,0.0,agriculture,food/agr
9,13,1,Treatment,1,0.0,kirana store,food/agr
10,24,1,Treatment,1,0.0,toddy business,other
11,32,1,Treatment,1,0.0,hair cutting Sloane,other
12,34,1,Treatment,1,0.0,toddy business,other
13,34,1,Treatment,2,0.0,kirana store,food/agr
14,35,1,Treatment,1,,,
15,37,1,Treatment,1,0.0,real estate,other
16,37,1,Treatment,2,0.0,tailoring,clothing
17,38,1,Treatment,1,0.0,toddy business,other
18,39,1,Treatment,1,,,
19,41,1,Treatment,1,0.0,toddy business,other
20,42,1,Treatment,1,,,
21,46,1,Treatment,1,0.0,toddy business,other
22,47,1,Treatment,1,,,
23,50,1,Treatment,1,1.0,toddy business,other
24,66,1,Treatment,1,1.0,tailoring,clothing
25,73,1,Treatment,1,0.0,tailoring,clothing
26,77,1,Treatment,1,0.0,other driving business,rickshaw/driving
27,79,1,Treatment,1,0.0,rickshaw,rickshaw/driving
28,79,1,Treatment,2,,,
29,82,1,Treatment,1,0.0,livestock,other
30,92,1,Treatment,1,0.0,internet,other
31,100,2,Control,1,,,
32,100,2,Control,2,0.0,chemicals,other
33,107,2,Control,1,0.0,plastics business,other
34,107,2,Control,2,0.0,food vender,food/agr
35,107,2,Control,3,0.0,food vender,food/agr
36,108,2,Control,1,0.0,kirana store,food/agr
37,109,2,Control,1,,,
38,111,2,Control,1,0.0,money transfer/photographer,other
39,112,2,Control,1,0.0,vegetables,other
40,115,2,Control,1,0.0,kirana store,food/agr
41,124,2,Control,1,1.0,kirana store,food/agr
42,125,2,Control,1,0.0,vegetables,other
43,130,2,Control,1,0.0,kirana store,food/agr
44,130,2,Control,2,0.0,kirana store,food/agr
45,130,2,Control,3,0.0,kirana store,food/agr
46,130,2,Control,4,0.0,kirana store,food/agr
47,132,2,Control,1,1.0,food vender,food/agr
48,137,2,Control,1,0.0,kirana store,food/agr
49,138,2,Control,1,0.0,postal business,other
50,139,2,Control,1,0.0,postal business,other
51,141,2,Control,1,1.0,"tea, coffee",food/agr
52,146,2,Control,1,0.0,tailoring,clothing
53,147,2,Control,1,0.0,kirana store,food/agr
54,148,2,Control,1,1.0,car repairing and sales,other
55,150,2,Control,1,1.0,fish business,other
56,151,2,Control,1,0.0,postal business,other
57,152,2,Control,1,0.0,money transfer/photographer,other
58,153,2,Control,1,0.0,postal business,other
59,154,2,Control,1,0.0,money transfer/photographer,other
60,155,2,Control,1,0.0,money transfer/photographer,other
61,157,2,Control,1,0.0,toddy business,other
62,157,2,Control,2,1.0,money transfer/photographer,other
63,160,2,Control,1,0.0,real estate,other
64,162,2,Control,1,0.0,postal business,other
65,163,2,Control,1,0.0,postal business,other
66,163,2,Control,2,,postal business,other
67,163,2,Control,3,,postal business,other
68,163,2,Control,4,0.0,pots business,other
69,163,2,Control,5,1.0,palming,repair/construction
70,165,2,Control,1,0.0,postal business,other
71,166,2,Control,1,0.0,vegetables,other
72,167,2,Control,1,0.0,tailoring,clothing
73,168,2,Control,1,0.0,kirana store,food/agr
74,171,2,Control,1,1.0,kirana store,food/agr
75,176,2,Control,1,0.0,rickshaw,rickshaw/driving
76,177,2,Control,1,0.0,money transfer/photographer,other
77,178,2,Control,1,0.0,kirana store,food/agr
78,182,2,Control,1,0.0,clothes seller,clothing
79,190,3,Treatment,1,0.0,clothes seller,clothing
80,192,3,Treatment,1,0.0,food vender,food/agr
81,192,3,Treatment,2,,,
82,193,3,Treatment,1,0.0,food vender,food/agr
83,196,3,Treatment,1,0.0,ironing,clothing
84,200,3,Treatment,1,0.0,other driving business,rickshaw/driving
85,201,3,Treatment,1,0.0,food vender,food/agr
86,203,3,Treatment,1,0.0,carpenter,repair/construction
87,204,3,Treatment,1,0.0,rickshaw,rickshaw/driving
88,210,3,Treatment,1,0.0,kirana store,food/agr
89,218,3,Treatment,1,1.0,bicycle,other
90,220,3,Treatment,1,0.0,kirana store,food/agr
91,220,3,Treatment,2,0.0,coin box,other
92,225,3,Treatment,1,0.0,ironing,clothing
93,226,3,Treatment,1,0.0,brooms,other
94,226,3,Treatment,2,0.0,brooms,other
95,233,3,Treatment,1,0.0,photographer,other
96,235,3,Treatment,1,0.0,all fruits selling,other
97,236,3,Treatment,1,0.0,flower seller,other
98,237,3,Treatment,1,0.0,tailoring,clothing
99,237,3,Treatment,2,0.0,tailoring,clothing
100,237,3,Treatment,3,,RMP doctor,other
101,247,4,Treatment,1,0.0,rickshaw,rickshaw/driving
102,247,4,Treatment,2,,,
103,249,4,Treatment,1,1.0,tailoring,clothing
104,250,2,Control,1,0.0,coconut business,other
105,252,4,Treatment,1,0.0,kirana store,food/agr
